SCHEME NAME,CATEGORY,DETAILS,BENEFITS,ELIGIBILITY,GENDER,AGE,RESIDENTIAL STATUS,CASTE AND COMMUNITIES,DISABILITY STATUS,ORPHAN,OCCUPATION,ANNUAL INCOME,EDUCATION LEVEL,MARITAL STATUS,DOCUMENTS REQUIRED
Animal Husbandry,"animal husbandry, animals health cover, artificial insemination, distribution of sheep units, Social Welfare, Health & Nutrition, Tribal welfare, Tribal Welfare, Health & Nutrition, Social Welfare, Tribal Welfare","The “Animal Husbandry” scheme by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, offers Adi Dravidar and Tribal beneficiaries various forms of support, including a 50% to 75% subsidy on sheep units, milch animals, and calves. Additionally, the scheme ensures the animals receive proper health cover, artificial insemination services, and other veterinary care.","Subsidy: Subsidy of 50% to 75% on sheep units, milch animals, and calves., Health Care Facility for Animals: Provision of health care and veterinary services., Others: Artificial insemination for animals to improve breeding.","The beneficiary should be a resident of Tamil Nadu., The beneficiary should be a Farmer., The beneficiary should belong to the Adi Dravidar/Tribal community.","Male, Female, Others",,,"Adi Dravidar, Tribal",,,Farmer,,,,"Proof of identity (Aadhar card or any other document as directed by the authority)., Community certificate., Any other documents (if required)."
Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I,"Women Welfare, girl, orphan, Social Welfare, gold, marriage, Women Welfare, Social Welfare","The 'Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu.  provides financial assistance to the orphan girls for their marriage. The bride should have completed 18 years of age at the time of marriage.","Financial assistance of ₹25,000/-., One sovereign (8gm) 22-carat gold coin for making Thirumangalyam.","The applicant should be a girl., The applicant should be an orphan., The bride should be 18 years or above at the time of marriage.",Female,>= 18,,,,Yes,,,,,"1. Death Certificate of Father & Mother or Orphan Certificate (Issued by a Member of Parliament (MP)/ Member of the Legislative Assembly (MLA))., 2. Income Certificate from Tahsildar., 3. Marriage Invitation., 4. Age Proof of the Bride., 5. Bride’s Photograph., 6. Bills towards the Purchase of Marriage Articles for ₹1,000/-., 7. Any other document as required by the Department."
Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-II,"Women Welfare, girl, orphan, Social Welfare, gold, marriage, Women Welfare, Social Welfare","The ""Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I"" was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu.  provides financial assistance to the orphan girls for their marriage. The bride should have completed 18 years of age at the time of marriage.","Financial assistance of ₹25,000/-., One sovereign (8gm) 22-carat gold coin for making Thirumangalyam.","The applicant should be a girl., The applicant should be an orphan., The bride should be 18 years or above at the time of marriage., The applicant should have a degree passed from regular colleges, distance education/government-recognized open university., The applicant should have a Diploma passed from the Institution recognized by the Directorate of Technical Education, Government of Tamil Nadu.",Female,>= 18,,,,Yes,,,"Undergraduate, Postgraduate, Diploma",,"1. Death Certificate of Father & Mother or Orphan Certificate (Issued by a Member of Parliament (MP)/ Member of the Legislative Assembly (MLA))., 2. Income Certificate from Tahsildar., 3. Marriage Invitation., 4. Age Proof of the Bride., 5. Bride’s Photograph., 6. Bills towards the Purchase of Marriage Articles for ₹1,000/-., 7. Any other document as required by the Department."
Annal Ambedkar Business Champions Scheme,"financial assistance, Subsidy, scheduled caste, Entrepreneurship, ambedkar, entrepreneur, Tribal Welfare, scheduled tribe, aabcs, loan, Financial Assistance, msme, Entrepreneurship, Financial Assistance, Subsidy, Tribal Welfare","“Annal Ambedkar Business Champions Scheme (AABCS)” was launched by the Department of Micro, Small and Medium Enterprises, Government of Tamil Nadu. The Government of Tamil Nadu noted that the share of persons from Scheduled Caste and Scheduled Tribe communities who avail of various entrepreneurship promotion subsidies from the Government is very low. In order to promote the economic development of SC/ST entrepreneurs, this scheme has been launched by the Government of Tamil Nadu. The new scheme will provide a 35% capital subsidy and offer a 6% interest subvention for loans to procure machinery and equipment.","Under the scheme, the State Government will provide a 35% capital subsidy on the Eligible Project Cost, not exceeding ₹1.5 Crore., A 6% interest subvention will be given for loans sanctioned under this scheme., Note 01: Interest subvention will be given to loans sanctioned by scheduled Commercial Banks, Co-Operatives Banks, Tamil Nadu Industrial Investment Corporation, and Non-Banking Financial Companies (NBFCs) during the tenure of the loan not exceeding 10 years., Note 02: The capital subsidy sanctioned will be provided frontend to the extent necessary to constitute margin money requirement for credit linkage., Note 03: The working capital sanctioned for the project shall be eligible for interest subvention for a period not exceeding 2 years.","The applicant should be a resident of the State of Tamil Nadu., The beneficiaries shall be persons belonging to SC/ST communities. Enterprises supported under the scheme shall be 100% owned by persons belonging to SC/STs. The enterprises may have any legal personality allowed to conduct business for profit as per prevailing laws which include sole proprietorship, partnership, and company.,  can support both new enterprises and expansion of existing enterprises., The eligible enterprises can be business enterprises in the areas of manufacturing and services. Trading-related projects which are above the threshold of assistance under the existing Unemployed Youth Employment Generation Programme (UYEGP) scheme will also be covered., The age limit for beneficiaries will be 55 years., There shall be no minimum educational qualification for beneficiaries., There will be no bar on the beneficiary to claim additional capital subsidy from schemes operated by agencies not controlled by the Government of Tamil Nadu. This will include the Credit Linked Capital Subsidy Scheme (CLCSS) of the Union Government, schemes of Coir Board, etc.,, Entrepreneurship Development Training will be given to all beneficiaries by Entrepreneurship Development and Innovation Institute, as done in the case of the New Entrepreneur-cum- Enterprise Development Scheme (NEEDS)., Note 01:  will cover new entrepreneurs and existing entrepreneurs., Note 02: Eligible Project Cost shall include all investments of a capital nature and will include land, plant, machinery, testing equipment, and computing devices, Cost of land may be taken into account for the purposes of calculating subsidy which should not exceed 20% of the total project cost. Vehicles shall be considered as part of project cost only in cases where the vehicle is integral to the business process as in the case of taxi and lorry business, earth moving equipment, bore well drilling, sanitary service equipment like Jet Roding machines, etc.,, Note 03: This training will be given even for prospective applicants or their wards where subsidy applications are under process. Convergence with existing training schemes of the Government, including the Tamil Nadu Skill Development Corporation (TNSDC) will also be implemented for this purpose.","Male, Female, Others",,,"SC, ST",,,,,,,"1. Identity proof i.e. copy of Election ID Card/ Aadhaar card, 2. Copy of PAN Card, 3. Passport size photo, 4. Proof of age, 5. Caste/Community Certificate, 6. Residence proof, 7. Bank account details, 8. Any other documents, if required"
Annal Gandhi Memorial Award,"education, Education, Social Welfare, award, Tribal welfare, examination, Tribal Welfare, Education, Social Welfare, Tribal Welfare","The “Annal Gandhi Memorial Award”, introduced on May 7, 2012, by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, aims to encourage academic excellence among students from the Hindu Adi Dravidar community.  helps students pursue higher education through providing financial assistance.","In first year: ₹2,000/-., For the succeeding five years: ₹1,500/- per annum.","The beneficiary should be a resident of Tamil Nadu., The beneficiary should be a Student., The beneficiary should belong to the SC/ST (Hindu Adi Dravidar) community., The beneficiary must have secured the first rank in plus 2 Public Examinations in their district.","Male, Female, Others",,,"SC, ST",,,Student,,"High School, Undergraduate, Postgraduate, Diploma",,"Proof of identity (Aadhar card or any other document as directed by the authority)., Community certificate., Plus 2 Public Examination mark sheet., Bank account details., Any other documents (if required)."
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,"differently abled person, Disability Welfare, delivery, Health & Nutrition, pregnancy, miscarriage, Tribal Welfare, Female, Health & Nutrition, Disability Welfare, Tribal Welfare","The Government of Tamil Nadu introduced ""Assistance for Delivery/ Miscarriage of Pregnancy/ Termination of Pregnancy to Female Differently Abled Person with a sum of Rs.6,000/- @ Rs.1,000/- per month for delivery and Rs.3,000 for miscarriage/termination of pregnancy is given to Female differently abled person.","A sum of Rs.6,000/- @ Rs.1,000/- per month for delivery and Rs.3,000 for miscarriage/termination of pregnancy is given to a Female differently abled person.",Differently abled person holding identity card issued by the welfare board for the differently abled.,"Male, Female, Others",,,,Yes,,,,,,"Copy of National Spouse Identity Card and Board Registration Details, Copy of Family Card, Copy of Aadhaar Card, For jump i) Child birth certificate copy ii) Hospital certificate copy, Certificate from the hospital where the operation was performed for abortion"
Assistance For Purchase Of Spectacles By A Differently Abled Person,"spectacles, Disability Welfare, tamil nadu, differently abled persons, Disability Welfare","The ""Assistance for Purchase of Spectacles by A Differently Abled Persons"" scheme in Tamil Nadu is a government initiative that aims to provide financial assistance to differently-abled individuals.",A sum of Rs.500/- (Rupees Five hundred only) is paid as an assistance towards the reimbursement of the cost of spectacles for differently-abled persons.,Differently-abled persons holding identity cards issued by the welfare board for the differently abled.,"Male, Female, Others",,,,Yes,,,,,,"National Disability Identity Card and Board Registration Details, Family card, Aadhaar card, Nasal mirror test evidence, The Receipt of buying nose glasses"
Assistance for Delivery of a Child or the Miscarriage of Pregnancy or the Termination of Pregnancy,"financial assistance, pregnant women, child, Subsidy, Women Welfare, Child Welfare, Tribal Welfare, Women Welfare, Financial Assistance, Subsidy, Child Welfare, Tribal Welfare","""Assistance for Delivery of a Child or the Miscarriage of Pregnancy or the Termination of Pregnancy"" was launched by the Art and Culture Department, Government of Tamil Nadu. , The Tamil Nadu Folk Artiste's Welfare Board offers assistance for the delivery of a child, miscarriage, or termination of pregnancy to registered Female folk artists.","Child Delivery – ₹6,000/- (₹1,000/- per month for six months)., Miscarriage – ₹3,000/-., Termination – ₹3,000/-., Note: Assistance is available only twice.","The applicant should be a registered Female folk artist., The applicant can be eligible only if she is giving birth to a child or has a miscarriage or termination of pregnancy., The applicant should not have any dues payable to the board., The Female folk artist is not eligible if already has two children.",Female,,,,,,Folk Artist,,,,"Registration Card of the Folk Artist., Birth Certificate of Child or, Certificate of miscarriage of pregnancy, or termination of pregnancy (from Registered Maternity Doctor)."
Assistance for Funeral Rites,"funeral rites, death assistance, Subsidy, Social Welfare, Tribal welfare, Tribal Welfare, Social Welfare, Subsidy, Tribal Welfare","The “Assistance for Funeral Rites” scheme by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, offers financial support of ₹500/- to SC/ST families with an annual income below ₹24,000/-. The goal is to ease the burden of funeral expenses for economically disadvantaged communities, ensuring they can perform dignified funeral rites for their family members.",Financial Assistance: ₹500/- for funeral expenses.,"The beneficiary should be a resident of Tamil Nadu., The beneficiary should belong to the SC/ST (Adi Dravidar/Tribal) community., The beneficiary should have lost any of his/her family members due to death.","Male, Female, Others",,,"SC, ST, Adi Dravidar, Tribal",,,,,,,"Proof of identity (Aadhar card or any other document as directed by the authority)., Income Certificate (proving income below ₹24,000/- per annum)., Caste Certificate (SC/ST)., Death Certificate of the deceased family member., Any other documents (if required)."
Assistance for Marriage,"financial assistance, Subsidy, children, Women Welfare, Child Welfare, Tribal Welfare, marriage, differently-abled person, Women Welfare, Financial Assistance, Subsidy, Child Welfare, Tribal Welfare","""Assistance for Marriage"" was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. , a sum of ₹2,000/- is given to meet the marriage expenses of the differently abled person or his son or daughter. The applications are accepted offline in the prescribed form available at the District Differently Abled Welfare Office.","Financial Assistance of ₹2,000/-.","Eligibility for differently abled person:, The applicant should be a differently abled person., The differently abled person shall have attained the age as prescribed by law for marriage., Eligibility for son or daughter:, The children of differently-abled person should be holding identity card.","Male, Female, Others",,,,Yes,,,,,,"Differently Abled Identity Card (issued by the welfare board)., Birth Certificate., Proof of Marriage."
Assistance for law graduates,Assistance for law graduates,"The ""Assistance to Law Graduates"" scheme was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. , financial assistance of ₹50,000/- will be given to the differently abled Law graduates for enrolment in the Bar Council as lawyer and for the purchase of law books.","Financial Assistance of ₹50,000/-.","The applicant should be a differently abled person., He/She should be a law graduate.","Male, Female, Others",,,,Yes,,,,"Undergraduate, Postgraduate",,"National Identity Card of the Differently Abled., Law Degree Certificate."
Assistance for purchase of Spectacles - Folk Artist,"spectacles, financial assistance, Subsidy, Tribal Welfare, artist, Financial Assistance, Subsidy, Tribal Welfare","The ""Assistance for Purchase of Spectacles"" scheme was launched by the Art and Culture Department, Government of Tamil Nadu. , The Tamil Nadu Folk Artiste's Welfare Board provides assistance of ₹500/- for the purchase of spectacles to registered folk artists. The assistance shall be restricted to two thousand registered folk artists per year on “First come – First serve” basis.",Financial Assistance maximum of ₹500/-,"The applicant must be a registered folk artist., The applicant should not have any dues payable to the board., The applicant must not have availed similar benefits from any other government scheme.","Male, Female, Others",,,,,,Folk Artist,,,,"Registration Card of the Folk Artist., Medical Prescription (from a registered eye specialist)., Purchase Bill."
Assistance to Lawyers for Starting their Practice,"lawyers, unemployment, Tribal welfare, Social Welfare, Employment, practice, Tribal Welfare, Employment, Social Welfare, Tribal Welfare","The “Assistance to Lawyers for Starting their Practice” scheme by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, offers financial support to Adi Dravidar and Tribal lawyers who are in the early stages of their career.  aims to provide them with the necessary incentives to establish a successful legal practice.",Financial Assistance: Incentives to unemployed Adi Dravidar/Tribal lawyers to start legal practice.,"The beneficiary should be a resident of Tamil Nadu., The beneficiary should be an unemployed lawyer., The beneficiary should have registered their name as a lawyer within 5 years., The beneficiary should have an interest to start legal practice., The beneficiary should belong to the Adi Dravidar/Tribal community., Beneficiary’s annual family income should not exceed ₹1,00,000/-.","Male, Female, Others",,,"Adi Dravidar, Tribal",,,"Unemployed, Lawyer",<100000,,,"Proof of identity (Aadhar card or any other document as directed by the authority)., Certificate of registration as a lawyer (within the last 5 years)., Caste certificate (Adi Dravidar/Tribal)., Income certificate (parent’s annual income not exceeding ₹1,00,000/-)., Bank account details., Passport-size photographs., Any other documents (if required)."
